,0,1,2,3,4,5,6,7,8,9
12,4581506332.353591,4606495467.204692,4326640782.168066,3889370656.161449,3900366421.887246,2970197056.868682,2574845143.069585,2411900917.092652,2433393803.658709,2326430617.0996284
13,4269025248.8639264,4056501286.3466015,4013989702.7043915,3501065151.314613,2937669669.94625,2039317820.305988,1848292652.233012,1745790574.8048632,1609303947.8359306,1588814752.4349124
14,4036744511.2428493,4016231419.586227,3832739930.5831747,3636719659.3963065,3393215870.4989433,3386207788.6628604,2973251108.430505,2718263514.841529,1713359167.1507537,1884345828.91572
15,3944412770.6957603,3748885791.6961617,3762895890.7986226,3625878415.165582,3441873637.255523,3393877642.332148,3130890270.551309,3357359966.1728315,2976408879.958477,3030902887.011485
16,4464835603.922951,4293437040.609299,3919658727.771869,3774224082.677913,3769730713.7650943,3714246647.302965,3721752524.576497,3691269879.7665677,3675273927.1247225,3687272171.5872645
17,4623549372.545767,4622050220.79305,4557568853.681639,4476094231.264829,4496587438.099425,4427105716.097007,4403112715.154238,4402612788.811583,4398114081.690216,4400613398.253675
18,4390262876.717499,4339755740.880345,4271242736.1084585,4203238349.937072,4307243597.876498,4292753256.346752,4205259718.310429,2871431880.3847194,3034359690.487912,2976872166.872197
19,4455392718.244861,4444406284.47907,4351902433.522318,4570404744.023964,4218927730.7575226,4136426074.178381,3497000012.075288,3587510859.398656,3291519896.280791,3198524210.220993
20,3708193768.259739,3385238930.7954054,3192701176.480881,2649792620.60839,1651506663.7006714,1589007194.8822937,1525993168.4242113,1369035587.3071504,1265057082.3627474,1301044227.857776
21,3981702031.4497066,2691082565.349908,2039213132.663293,2398598200.976787,1154346370.7498078,955412104.3566424,601931397.6191616,1154351117.9093416,755366490.0013003,668375378.0802692
22,4502120699.971436,4229084784.527453,3784060054.51418,3586659988.9532833,3312239768.487852,2575784671.6058164,1342086747.6570425,1026679205.4609071,766761940.1045892,715777375.4868416
23,3974102975.4634867,3914112816.432534,3862636225.9246883,3821647540.60616,3791657987.3202806,3790159062.0971613,3712191056.587543,3686701495.938103,3689200408.232106,3679204966.7291565
24,4199518555.1800256,4037998291.053761,4026498014.881139,4002494104.4079676,3910980644.531346,3935981811.5114937,3824969757.291313,3817468942.671753,3806967803.5495214,3806967803.198234
25,4489348500.087901,4320332801.284407,4181862193.008427,3954927593.561353,3744528290.287065,2714268989.925495,2797251579.5750895,2336916384.252985,2175442366.4033833,2079986936.4255276
26,4467202851.269246,4457207372.659096,3888367890.9040246,3991828173.794187,4285745945.698693,2743061440.7194204,3312956394.593864,3076004418.569652,1983207564.898855,1866725444.006255
27,4597722561.409069,4483729155.790436,4390739147.120116,4307268718.315556,4306772363.3181095,4056779405.967088,4154284899.1604857,3984804671.750816,4113304038.446255,4004313779.99869
28,4898051028.3679085,4898051028.669459,4898051028.386651,4898051028.737036,4898051028.654032,4898051028.517773,4898051028.388702,4898051028.586542,4898051028.49914,4898051028.754847
29,4081413099.6211877,4019430430.8579288,4117901593.7855577,4002922980.0320935,3705971283.5506206,3620483267.3443847,3857438484.835887,4075895254.8506413,3904926604.822077,3890927245.077034
30,4355899009.674347,4210923969.165058,4218402435.9444113,4130903413.035237,4113400119.937763,4179389353.303784,3994389926.7492256,4015887140.2486277,3981890551.592013,4028885347.932363
31,4598333989.590831,4598333989.880839,4598333989.7300825,4591337491.400405,4580342962.286487,4583341430.065174,4590337928.663511,4582341867.924743,4578343836.944453,4570347775.477021
32,4212890038.778499,4198893922.937669,4205886891.910323,4021434996.0215025,3876477108.696266,3869476880.0764885,3781002403.660179,3703022687.854684,3700023531.285768,3700023531.2665176
33,4067348207.026388,3938861089.753974,3942858642.51428,3193956276.494467,3615911887.899463,2042130258.4785883,1392227698.9975295,1225750376.2613442,1258244418.5791292,1254747311.9799035
34,3059875843.867552,2772965002.7261777,2682497083.957359,2547037210.943456,2581527258.145077,2545035312.703553,2543038386.3586373,2529541769.72773,2516045152.9005704,2531041210.7984824
35,4510280651.089761,4423756144.581864,4179686561.6968045,4056185661.924423,3218524527.6853914,2679506676.209073,2444496870.265708,1164354309.2487135,1114854139.3025975,1103857755.5625653
36,4598351466.185081,4598351466.280915,4598351466.370644,4598351466.20018,4598351466.400202,4598351466.173339,4598351466.288357,4598351466.358525,4598351466.350034,4598351466.265374
